package,script
Seurat,WT/Bin-level analysis/Unk_analysis.Rmd
clusterProfiler,WT/Bin-level analysis/Unk_analysis.Rmd
dplyr,WT/Bin-level analysis/Unk_analysis.Rmd
ggplot2,WT/Bin-level analysis/Unk_analysis.Rmd
htmlwidgets,WT/Bin-level analysis/Unk_analysis.Rmd
knitr,WT/Bin-level analysis/Unk_analysis.Rmd
org.Dm.eg.db,WT/Bin-level analysis/Unk_analysis.Rmd
pheatmap,WT/Bin-level analysis/Unk_analysis.Rmd
plotly,WT/Bin-level analysis/Unk_analysis.Rmd
AnnotationDbi,WT/Bin-level analysis/Unk_temp.Rmd
Matrix,WT/Bin-level analysis/Unk_temp.Rmd
Matrix.utils,WT/Bin-level analysis/Unk_temp.Rmd
R.utils,WT/Bin-level analysis/Unk_temp.Rmd
Seurat,WT/Bin-level analysis/Unk_temp.Rmd
SeuratDisk,WT/Bin-level analysis/Unk_temp.Rmd
SpatialExperiment,WT/Bin-level analysis/Unk_temp.Rmd
SummarizedExperiment,WT/Bin-level analysis/Unk_temp.Rmd
anndataR,WT/Bin-level analysis/Unk_temp.Rmd
arrow,WT/Bin-level analysis/Unk_temp.Rmd
clusterProfiler,WT/Bin-level analysis/Unk_temp.Rmd
data.table,WT/Bin-level analysis/Unk_temp.Rmd
dplyr,WT/Bin-level analysis/Unk_temp.Rmd
ggplot2,WT/Bin-level analysis/Unk_temp.Rmd
ggspavis,WT/Bin-level analysis/Unk_temp.Rmd
hdf5r,WT/Bin-level analysis/Unk_temp.Rmd
org.Dm.eg.db,WT/Bin-level analysis/Unk_temp.Rmd
presto,WT/Bin-level analysis/Unk_temp.Rmd
readr,WT/Bin-level analysis/Unk_temp.Rmd
rhdf5,WT/Bin-level analysis/Unk_temp.Rmd
spacexr,WT/Bin-level analysis/Unk_temp.Rmd
stringr,WT/Bin-level analysis/Unk_temp.Rmd
GOSemSim,WT/GO analysis/DAVID_Functional_Analysis.Rmd
ReactomePA,WT/GO analysis/DAVID_Functional_Analysis.Rmd
Seurat,WT/GO analysis/DAVID_Functional_Analysis.Rmd
clusterProfiler,WT/GO analysis/DAVID_Functional_Analysis.Rmd
dplyr,WT/GO analysis/DAVID_Functional_Analysis.Rmd
enrichplot,WT/GO analysis/DAVID_Functional_Analysis.Rmd
ggVennDiagram,WT/GO analysis/DAVID_Functional_Analysis.Rmd
ggplot2,WT/GO analysis/DAVID_Functional_Analysis.Rmd
org.Dm.eg.db,WT/GO analysis/DAVID_Functional_Analysis.Rmd
patchwork,WT/GO analysis/DAVID_Functional_Analysis.Rmd
stringr,WT/GO analysis/DAVID_Functional_Analysis.Rmd
GOSemSim,WT/GO analysis/Deepened_GO_Analysis.Rmd
Seurat,WT/GO analysis/Deepened_GO_Analysis.Rmd
clusterProfiler,WT/GO analysis/Deepened_GO_Analysis.Rmd
dendextend,WT/GO analysis/Deepened_GO_Analysis.Rmd
dplyr,WT/GO analysis/Deepened_GO_Analysis.Rmd
enrichplot,WT/GO analysis/Deepened_GO_Analysis.Rmd
ggVennDiagram,WT/GO analysis/Deepened_GO_Analysis.Rmd
ggplot2,WT/GO analysis/Deepened_GO_Analysis.Rmd
ggsci,WT/GO analysis/Deepened_GO_Analysis.Rmd
htmlwidgets,WT/GO analysis/Deepened_GO_Analysis.Rmd
org.Dm.eg.db,WT/GO analysis/Deepened_GO_Analysis.Rmd
patchwork,WT/GO analysis/Deepened_GO_Analysis.Rmd
pheatmap,WT/GO analysis/Deepened_GO_Analysis.Rmd
plotly,WT/GO analysis/Deepened_GO_Analysis.Rmd
reshape2,WT/GO analysis/Deepened_GO_Analysis.Rmd
rioja,WT/GO analysis/Deepened_GO_Analysis.Rmd
stringr,WT/GO analysis/Deepened_GO_Analysis.Rmd
Seurat,WT/Gut structure analysis/Global_Transcriptional_Comparison.Rmd
dplyr,WT/Gut structure analysis/Global_Transcriptional_Comparison.Rmd
ggplot2,WT/Gut structure analysis/Global_Transcriptional_Comparison.Rmd
gridExtra,WT/Gut structure analysis/Global_Transcriptional_Comparison.Rmd
patchwork,WT/Gut structure analysis/Global_Transcriptional_Comparison.Rmd
plotly,WT/Gut structure analysis/Global_Transcriptional_Comparison.Rmd
reshape2,WT/Gut structure analysis/Global_Transcriptional_Comparison.Rmd
scales,WT/Gut structure analysis/Global_Transcriptional_Comparison.Rmd
tidyr,WT/Gut structure analysis/Global_Transcriptional_Comparison.Rmd
viridis,WT/Gut structure analysis/Global_Transcriptional_Comparison.Rmd
zoo,WT/Gut structure analysis/Global_Transcriptional_Comparison.Rmd
Seurat,WT/Gut structure analysis/Global_Transcriptional_Comparison_sc.Rmd
dplyr,WT/Gut structure analysis/Global_Transcriptional_Comparison_sc.Rmd
ggplot2,WT/Gut structure analysis/Global_Transcriptional_Comparison_sc.Rmd
gridExtra,WT/Gut structure analysis/Global_Transcriptional_Comparison_sc.Rmd
reshape2,WT/Gut structure analysis/Global_Transcriptional_Comparison_sc.Rmd
viridis,WT/Gut structure analysis/Global_Transcriptional_Comparison_sc.Rmd
Seurat,WT/Gut structure analysis/Hierarchical_Clustering_Of_Regions.Rmd
cluster,WT/Gut structure analysis/Hierarchical_Clustering_Of_Regions.Rmd
dendextend,WT/Gut structure analysis/Hierarchical_Clustering_Of_Regions.Rmd
dplyr,WT/Gut structure analysis/Hierarchical_Clustering_Of_Regions.Rmd
factoextra,WT/Gut structure analysis/Hierarchical_Clustering_Of_Regions.Rmd
ggplot2,WT/Gut structure analysis/Hierarchical_Clustering_Of_Regions.Rmd
knitr,WT/Gut structure analysis/Hierarchical_Clustering_Of_Regions.Rmd
reshape2,WT/Gut structure analysis/Hierarchical_Clustering_Of_Regions.Rmd
rioja,WT/Gut structure analysis/Hierarchical_Clustering_Of_Regions.Rmd
stringr,WT/Gut structure analysis/Hierarchical_Clustering_Of_Regions.Rmd
zoo,WT/Gut structure analysis/Hierarchical_Clustering_Of_Regions.Rmd
RColorBrewer,WT/Gut structure analysis/gut3_analysis.Rmd
Seurat,WT/Gut structure analysis/gut3_analysis.Rmd
clusterProfiler,WT/Gut structure analysis/gut3_analysis.Rmd
cowplot,WT/Gut structure analysis/gut3_analysis.Rmd
dplyr,WT/Gut structure analysis/gut3_analysis.Rmd
ggplot2,WT/Gut structure analysis/gut3_analysis.Rmd
org.Dm.eg.db,WT/Gut structure analysis/gut3_analysis.Rmd
pheatmap,WT/Gut structure analysis/gut3_analysis.Rmd
viridis,WT/Gut structure analysis/gut3_analysis.Rmd
AnnotationDbi,WT/Preprocessing/Seg_data.Rmd
R.utils,WT/Preprocessing/Seg_data.Rmd
SPOTlight,WT/Preprocessing/Seg_data.Rmd
Seurat,WT/Preprocessing/Seg_data.Rmd
SeuratDisk,WT/Preprocessing/Seg_data.Rmd
anndataR,WT/Preprocessing/Seg_data.Rmd
arrow,WT/Preprocessing/Seg_data.Rmd
data.table,WT/Preprocessing/Seg_data.Rmd
dplyr,WT/Preprocessing/Seg_data.Rmd
ggplot2,WT/Preprocessing/Seg_data.Rmd
hdf5r,WT/Preprocessing/Seg_data.Rmd
org.Dm.eg.db,WT/Preprocessing/Seg_data.Rmd
patchwork,WT/Preprocessing/Seg_data.Rmd
readr,WT/Preprocessing/Seg_data.Rmd
rhdf5,WT/Preprocessing/Seg_data.Rmd
sf,WT/Preprocessing/Seg_data.Rmd
stringr,WT/Preprocessing/Seg_data.Rmd
Matrix,WT/Preprocessing/Segmentation.Rmd
Seurat,WT/Preprocessing/Segmentation.Rmd
arrow,WT/Preprocessing/Segmentation.Rmd
data.table,WT/Preprocessing/Segmentation.Rmd
dplyr,WT/Preprocessing/Segmentation.Rmd
ggplot2,WT/Preprocessing/Segmentation.Rmd
grid,WT/Preprocessing/Segmentation.Rmd
jsonlite,WT/Preprocessing/Segmentation.Rmd
sf,WT/Preprocessing/Segmentation.Rmd
tiff,WT/Preprocessing/Segmentation.Rmd
AnnotationDbi,WT/Preprocessing/St111125.Rmd
R.utils,WT/Preprocessing/St111125.Rmd
SPOTlight,WT/Preprocessing/St111125.Rmd
Seurat,WT/Preprocessing/St111125.Rmd
SeuratDisk,WT/Preprocessing/St111125.Rmd
anndataR,WT/Preprocessing/St111125.Rmd
arrow,WT/Preprocessing/St111125.Rmd
data.table,WT/Preprocessing/St111125.Rmd
dplyr,WT/Preprocessing/St111125.Rmd
ggplot2,WT/Preprocessing/St111125.Rmd
hdf5r,WT/Preprocessing/St111125.Rmd
org.Dm.eg.db,WT/Preprocessing/St111125.Rmd
readr,WT/Preprocessing/St111125.Rmd
rhdf5,WT/Preprocessing/St111125.Rmd
stringr,WT/Preprocessing/St111125.Rmd
Seurat,WT/Single-cell-mapping-and-analysis/EB_Subcluster_Markers.Rmd
dplyr,WT/Single-cell-mapping-and-analysis/EB_Subcluster_Markers.Rmd
ggplot2,WT/Single-cell-mapping-and-analysis/EB_Subcluster_Markers.Rmd
patchwork,WT/Single-cell-mapping-and-analysis/EB_Subcluster_Markers.Rmd
pheatmap,WT/Single-cell-mapping-and-analysis/EB_Subcluster_Markers.Rmd
plotly,WT/Single-cell-mapping-and-analysis/EB_Subcluster_Markers.Rmd
viridis,WT/Single-cell-mapping-and-analysis/EB_Subcluster_Markers.Rmd
Matrix,WT/Single-cell-mapping-and-analysis/EE_comparison.Rmd
Matrix.utils,WT/Single-cell-mapping-and-analysis/EE_comparison.Rmd
Seurat,WT/Single-cell-mapping-and-analysis/EE_comparison.Rmd
dplyr,WT/Single-cell-mapping-and-analysis/EE_comparison.Rmd
ggplot2,WT/Single-cell-mapping-and-analysis/EE_comparison.Rmd
patchwork,WT/Single-cell-mapping-and-analysis/EE_comparison.Rmd
pheatmap,WT/Single-cell-mapping-and-analysis/EE_comparison.Rmd
Seurat,WT/Single-cell-mapping-and-analysis/LFC_analysis.Rmd
clusterProfiler,WT/Single-cell-mapping-and-analysis/LFC_analysis.Rmd
dplyr,WT/Single-cell-mapping-and-analysis/LFC_analysis.Rmd
ggplot2,WT/Single-cell-mapping-and-analysis/LFC_analysis.Rmd
htmlwidgets,WT/Single-cell-mapping-and-analysis/LFC_analysis.Rmd
knitr,WT/Single-cell-mapping-and-analysis/LFC_analysis.Rmd
org.Dm.eg.db,WT/Single-cell-mapping-and-analysis/LFC_analysis.Rmd
pheatmap,WT/Single-cell-mapping-and-analysis/LFC_analysis.Rmd
plotly,WT/Single-cell-mapping-and-analysis/LFC_analysis.Rmd
Seurat,WT/Single-cell-mapping-and-analysis/generate_renamed_heatmaps.R
dplyr,WT/Single-cell-mapping-and-analysis/generate_renamed_heatmaps.R
pheatmap,WT/Single-cell-mapping-and-analysis/generate_renamed_heatmaps.R
Seurat,WT/Single-cell-mapping-and-analysis/mEC_analysis.Rmd
dplyr,WT/Single-cell-mapping-and-analysis/mEC_analysis.Rmd
ggplot2,WT/Single-cell-mapping-and-analysis/mEC_analysis.Rmd
htmlwidgets,WT/Single-cell-mapping-and-analysis/mEC_analysis.Rmd
knitr,WT/Single-cell-mapping-and-analysis/mEC_analysis.Rmd
pheatmap,WT/Single-cell-mapping-and-analysis/mEC_analysis.Rmd
plotly,WT/Single-cell-mapping-and-analysis/mEC_analysis.Rmd
Matrix,WT/Single-cell-mapping-and-analysis/sc_spatial_dec.Rmd
Matrix.utils,WT/Single-cell-mapping-and-analysis/sc_spatial_dec.Rmd
Seurat,WT/Single-cell-mapping-and-analysis/sc_spatial_dec.Rmd
SpatialExperiment,WT/Single-cell-mapping-and-analysis/sc_spatial_dec.Rmd
SummarizedExperiment,WT/Single-cell-mapping-and-analysis/sc_spatial_dec.Rmd
dplyr,WT/Single-cell-mapping-and-analysis/sc_spatial_dec.Rmd
ggplot2,WT/Single-cell-mapping-and-analysis/sc_spatial_dec.Rmd
patchwork,WT/Single-cell-mapping-and-analysis/sc_spatial_dec.Rmd
pheatmap,WT/Single-cell-mapping-and-analysis/sc_spatial_dec.Rmd
plotly,WT/Single-cell-mapping-and-analysis/sc_spatial_dec.Rmd
presto,WT/Single-cell-mapping-and-analysis/sc_spatial_dec.Rmd
rmarkdown,WT/Single-cell-mapping-and-analysis/sc_spatial_dec.Rmd
spacexr,WT/Single-cell-mapping-and-analysis/sc_spatial_dec.Rmd
viridis,WT/Single-cell-mapping-and-analysis/sc_spatial_dec.Rmd
writexl,WT/Single-cell-mapping-and-analysis/sc_spatial_dec.Rmd
Seurat,WT/Visualizers/Online_Visualization.R
bslib,WT/Visualizers/Online_Visualization.R
dplyr,WT/Visualizers/Online_Visualization.R
ggplot2,WT/Visualizers/Online_Visualization.R
shiny,WT/Visualizers/Online_Visualization.R
viridis,WT/Visualizers/Online_Visualization.R
Seurat,WT/Visualizers/spatial_centerline_projection.Rmd
SpatialExperiment,WT/Visualizers/spatial_centerline_projection.Rmd
SummarizedExperiment,WT/Visualizers/spatial_centerline_projection.Rmd
cowplot,WT/Visualizers/spatial_centerline_projection.Rmd
dplyr,WT/Visualizers/spatial_centerline_projection.Rmd
ggplot2,WT/Visualizers/spatial_centerline_projection.Rmd
mgcv,WT/Visualizers/spatial_centerline_projection.Rmd
patchwork,WT/Visualizers/spatial_centerline_projection.Rmd
png,WT/Visualizers/spatial_centerline_projection.Rmd
viridis,WT/Visualizers/spatial_centerline_projection.Rmd
Seurat,WT/Visualizers/spatial_gene_plotter.Rmd
dplyr,WT/Visualizers/spatial_gene_plotter.Rmd
ggplot2,WT/Visualizers/spatial_gene_plotter.Rmd
plotly,WT/Visualizers/spatial_gene_plotter.Rmd
viridis,WT/Visualizers/spatial_gene_plotter.Rmd
